Participant;Age;Sex;Expertise;MET-Melody;MET-Rhythm;MET-Total;GoldMSI;GMSI_32;GMSI_33;GMSI_35;GMSI_36;GMSI_37;GMSI_14_inv;GMSI_27_inv;GMSI_39
1;33;M;N;36;40;76;9;1;1;1;3;1;1;1;none
2;28;M;N;29;36;65;8;1;1;2;1;1;1;1;none
3;26;F;N;39;38;77;16;2;2;1;4;1;4;2;violin
4;26;M;N;38;42;80;12;1;2;2;4;1;1;1;piano
5;28;F;N;44;41;85;22;4;2;3;4;1;6;2;voice
6;19;M;N;28;34;62;7;1;1;1;1;1;1;1;none
7;23;F;N;24;31;55;13;1;1;4;4;1;1;1;none
8;26;M;N;27;42;69;7;1;1;1;1;1;1;1;none
9;21;M;N;33;33;66;7;1;1;1;1;1;1;1;none
10;31;F;N;32;42;74;10;1;1;1;1;1;4;1;guitar
11;25;F;N;28;35;63;7;1;1;1;1;1;1;1;none
12;34;F;N;42;43;85;7;1;1;1;1;1;1;1;none
13;26;F;N;32;39;71;13;1;1;1;1;1;5;3;none
14;27;F;N;29;24;53;13;2;2;2;4;1;1;1;voice
15;29;F;N;34;38;72;16;1;2;1;3;2;6;1;setar
16;26;F;N;32;40;72;13;2;2;2;1;2;2;2;piano
17;25;M;N;32;28;60;16;1;1;1;1;1;6;5;none
18;27;F;N;38;42;84;9;1;1;2;2;1;1;1;none
19;27;F;N;35;33;68;7;1;1;1;1;1;1;1;none
20;25;M;N;30;29;59;13;2;2;2;3;1;2;1;guitar
21;28;F;N;29;31;60;8;1;1;1;1;1;1;2;none
22;26;M;N;27;33;60;7;1;1;1;1;1;1;1;none
23;29;M;N;43;36;79;9;1;1;3;1;1;1;1;none
24;22;M;N;35;29;64;7;1;1;1;1;1;1;1;none
25;25;M;M;47;44;91;30;4;4;5;5;4;5;3;percussion
26;27;F;M;44;41;85;40;7;4;7;7;3;6;6;piano
27;25;M;M;32;34;66;39;6;5;5;6;3;7;7;piano
28;21;M;M;44;43;87;39;6;5;6;7;5;7;3;voice
29;23;M;M;39;43;82;26;1;3;6;6;3;5;2;piano
30;22;F;M;44;46;90;26;5;2;6;5;2;3;3;piano
31;23;M;M;36;39;75;28;5;2;6;5;3;5;2;trumpet
32;26;F;M;42;45;87;47;7;7;7;7;5;7;7;piano
33;28;M;M;46;44;90;43;7;6;7;5;5;6;7;guitar
34;23;F;M;43;41;84;34;4;5;6;5;2;7;5;piano
35;22;M;M;46;39;85;31;7;3;1;3;4;7;6;guitar
36;31;M;M;45;43;88;33;7;6;4;3;3;6;4;voice
37;26;M;M;40;30;70;26;5;2;3;5;2;6;3;drums
38;21;M;M;44;46;90;33;5;3;5;3;3;7;7;voice
39;26;M;M;44;41;85;47;7;7;6;7;7;7;6;guitar
40;26;M;M;37;38;75;33;7;7;1;1;4;7;6;bass
41;27;F;M;34;31;65;34;6;5;5;6;3;6;3;violin
42;20;F;M;46;44;90;36;6;3;6;7;3;6;5;piano
43;23;M;M;45;47;92;41;7;6;7;7;3;6;5;trumpet
44;20;M;M;44;43;87;41;7;6;7;7;3;6;5;trumpet
45;19;F;M;34;38;72;34;6;6;2;2;4;7;7;bass
46;28;M;M;40;37;77;27;4;5;1;1;3;6;7;setar
47;22;F;M;35;36;71;41;7;4;6;7;3;7;7;cello
48;24;F;M;46;47;93;38;7;5;7;7;3;5;4;piano
49;25;M;M;39;40;79;43;7;5;6;6;6;6;7;drums
50;25;F;M;43;40;83;45;7;6;7;7;4;7;7;voice
